show,title,href,id,show_abbrev,show_c
First Move with Julia Chatterley,"D.C. Talks Continue, But Too Late for Thousands of Airline Workers; Tokyo Hardware Glitch Spring Stock Trading to a Halt; Golden Week Getaway with China Embracing the Benefits of a Staycation. Aired 9-10a ET",/TRANSCRIPTS/2010/01/fmjc.01.html,55214,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,President Trump And Joe Biden Face Off In The First Presidential Debate; The World Bank Warns The COVID Pandemic Is Condemning Millions To Poverty In East Asia; LVMH Says Tiffany Faces Dismal Future As It Tries To Escape That Multibillion-Dollar Takeover Deal. Aired 9-10a ET,/TRANSCRIPTS/2009/29/fmjc.01.html,55215,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"Revelations On How Much Tax The President Pays And How Much Money He Owes; TikTok, The Chinese App Gets A Download Ban Reprieve; China's Biggest Chipmaker, SMIC, Hit With A U.S. Export Restriction. Aired 9-10a ET",/TRANSCRIPTS/2009/28/fmjc.01.html,55216,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,Ceremony for Justice Ginsburg on Capitol Hill; U.S. Democrats Say They are Willing to Start Stimulus Talks; How Social Networks are Disrupting Democracy. Aired 9-10a ET,/TRANSCRIPTS/2009/25/fmjc.01.html,55217,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,Stocks Slip on Recovery Fears and Political Risk; Disney Says No Big Movie Releases Now Until 2021; California Governor Calls for All Cars to be Zero Emissions by 2035. Aired 9-10a ET,/TRANSCRIPTS/2009/24/fmjc.01.html,55218,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,Ceremonies For Late Justice Ginsburg At The U.S. Supreme Court; China Promising It Will Be Carbon Neutral By 2060; Tesla Shares Lower Premarket After Battery Day. Aired 9-9:30a ET,/TRANSCRIPTS/2009/23/fmjc.01.html,55219,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"President Trump Promises A Strong Message On China; The U.K. Tightens Restrictions For Offices, Bars, And Restaurants; Elon Musk To Unveil Tesla's New Battery Technology. Aired 9-10a ET",/TRANSCRIPTS/2009/22/fmjc.01.html,55220,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"Coronavirus Fears And D.C. Dramas Send Global Markets Lower; TikTok's Chinese Owner Says It Is Still In Charge Despite The Oracle Deal; Shares In Truck Maker, Nikola Plunge After The Exec Chairman Resigns. Aired 9-10a ET",/TRANSCRIPTS/2009/21/fmjc.01.html,55221,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,The U.S. Government Restricts TikTok and WeChat; Outgoing U.S. Ambassador Blames Beijing for COVID-19; Investors Seem Keen to Play into Unity's IPO. Aired 9-10a ET,/TRANSCRIPTS/2009/18/fmjc.01.html,55222,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"The Fed Says it Will Keep Rates Lower for Longer, but Wants Congress to Help; President Trump Expresses Doubts on the TikTok-Oracle Deal; Snowstorm After a Red Hot Debut for Snowflake. Aired 9-10a ET",/TRANSCRIPTS/2009/17/fmjc.01.html,55223,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"Congress Says Boeing Management Failings Led to 346 Preventable Deaths in MAX Jet Crashes; Snowflake Starts a Bumper Month for Tech Listings; Instagram Interrupted, Stars Saying Enough to Hate and Misinformation. Aired 9-10a ET",/TRANSCRIPTS/2009/16/fmjc.01.html,55224,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"The U.S. Government Reviewing Oracle's Deal With TikTok This Week; UAE, Bahrain To Sign Normalization Pacts With Israel; Delta Air Lines To Save Jobs And Boost Diversity. Aired 9-10a ET",/TRANSCRIPTS/2009/15/fmjc.01.html,55225,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"TikTok has done a Deal, Oracle has Won; NVIDIA Buying ARM Holdings in a Massive Deal; OPEC is 60 Years Old. Aired 9-10a ET",/TRANSCRIPTS/2009/14/fmjc.01.html,55226,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,Nineteen Years Since 9/11 Terrorist Attacks; Rio Tinto's CEO Resigns over Appalling Situation Where the Company Destroyed Sacred Aboriginal Sites in Australia; Slimmed Down Stimulus Bill Could Not Get Past U.S. Senate. Aired 9-10a ET,/TRANSCRIPTS/2009/11/fmjc.01.html,55227,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"New U.S. Jobless Claims Report Out Today; According to Book by Woodward, Trump Knew Virus was Deadly, But Downplayed it; Yum China Stock Drops on Hong Kong Debut. Aired 9-10a ET",/TRANSCRIPTS/2009/10/fmjc.01.html,55228,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,The NASDAQ Set to Stabilize after a 10 Percent Sell-Off; AstraZeneca's Vaccine Trials Delayed Over Safety Concerns; Why LVMH Might Be Skipping Breakfast at Tiffany's. Aired 9-10a ET,/TRANSCRIPTS/2009/09/fmjc.01.html,55229,fmjc,first_move_with_julia_chatterley
First Move with Julia Chatterley,"The NASDAQ Index Facing a Third Day of Losses; Global Drug Makers Promise to Put Safety Before Speed; ""Mulan"" Misfire, Disney Facing Criticism Over its Latest Movie Release. Aired 9-10a ET",/TRANSCRIPTS/2009/08/fmjc.01.html,55230,fmjc,first_move_with_julia_chatterley
