show,title,href,id,show_abbrev,show_c
The Lead with Jake Tapper,"Pandemic Worsening; Are Republicans Attempting to Suppress Voting?; Biden, Trump Campaign in Florida. Aired 3-3:30p ET",/TRANSCRIPTS/2010/29/cg.01.html,19170,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"79 Million Plus Votes Cast So Far, Over A Third of Registered Voters; Texas Pre-Election Votes Close to State's Entire 2016 Vote; Dr. Birx Would Rather Travel, Keep Distance from The White House and Dr. Scott Atlas; Interview with Dave Mathews, Life as a Musician During COVID. Aired 3:30-4p ET",/TRANSCRIPTS/2010/29/cg.02.html,19171,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Do Trump Rallies Leads to COVID-19 Spikes?; Pandemic Worsening; Biden, Trump Campaign in Florida. Aired 4-4:30p ET",/TRANSCRIPTS/2010/29/cg.03.html,19172,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,CNN Investigates COVID Spread Linked to Trump Rallies; Rep. Raja Krishnamoorthi (D-IL) is Interviewed on Documents About Trump Admin Wanting $250M COVID Ad Campaign to Help Trump's Re-Election; U.S. Economy Shows Record Growth After Previous Record Drop. Aired 4:30-5p ET,/TRANSCRIPTS/2010/29/cg.04.html,19173,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Battleground Arizona; White House Claims Victory Over COVID-19 Pandemic?. Aired 3-3:30p ET,/TRANSCRIPTS/2010/28/cg.01.html,19174,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Anonymous Op-Ed Writer Revealed Who Detailed Resistance Inside the White House; New Jersey's Largest City Imposes Shutdown Measures Amid Surge; Interview with Gov. Phil Murphy (D) New Jersey on COVID Playbook; Dow Drops Sharply as Virus Surges and Election Nears. Aired 3:30-4p ET,/TRANSCRIPTS/2010/28/cg.02.html,19175,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Big Biden Lead in New National Polls; Comparing Biden and Trump's Pandemic Plans Aired 4:30-5p ET,/TRANSCRIPTS/2010/28/cg.04.html,19176,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,White House Claims Victory Over COVID-19 Pandemic; Big Biden Lead in New National Polls. Aired 4-4:30p ET,/TRANSCRIPTS/2010/28/cg.03.html,19177,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Interview with Secretary of the Commonwealth of Pennsylvania Kathy Boockvar; Trump Holds Rally in Michigan; Trump on Defense in Campaign. Aired 3-3:30p ET,/TRANSCRIPTS/2010/27/cg.01.html,19178,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,"Record COVID-19 Cases in More Than Half of U.S. States; Biden in Georgia, Trump in Michigan. Aired 4-4:30p ET",/TRANSCRIPTS/2010/27/cg.03.html,19179,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Supreme Court Will Not Extend Wisconsin Ballot Deadline; Pennsylvania GOP Asks Supreme Court to Reconsider Mail-In Voting Decision; More Than Half of All States Report Record Cases of COVID This Month; Trump Touts U.S. Brokered Deal with Israel and 3 Arab Nations. Aired 3:30-4p ET,/TRANSCRIPTS/2010/27/cg.02.html,19180,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Interview With Mary Trump; Philadelphia Police Shooting; Supreme Court Issues Controversial Ruling On Counting Wisconsin Ballots; Biden's Closing: We Can Unite And Heal The Country. Aired 4:30-5p ET,/TRANSCRIPTS/2010/27/cg.04.html,19181,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Trump Administration Admitting Defeat on Controlling COVID-19?; White House Faces Another Coronavirus Outbreak. Aired 3-3:30p ET,/TRANSCRIPTS/2010/26/cg.01.html,19182,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Dow Plunges; Has Trump Given Up on Controlling COVID-19?; White House Faces Another Coronavirus Outbreak; Joe Biden Campaigns in Pennsylvania. Aired 4-4:30p ET,/TRANSCRIPTS/2010/26/cg.03.html,19183,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Trump Campaign Is Confident President Is Expanding His Base and Will Win Battleground States; Trump Holding Three Rallies in Pennsylvania Today; Pence Still Campaigning Despite COVID Outbreak Amongst Staff; Trump Fails to Reveal Healthcare Plan Details. Aired 3:30-4p ET,/TRANSCRIPTS/2010/26/cg.02.html,19184,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Key States; Early Voting Setting Records' The Seven Key States That Could Decide the Election; Former FDA Chief: It's Time for a National Mask Mandate. Aired 4:30-5p ET,/TRANSCRIPTS/2010/26/cg.04.html,19185,cg,the_lead_with_jake_tapper
The Lead with Jake Tapper,Joe Biden Lays Out COVID-19 Response Plan. Aired 3-3:30p ET,/TRANSCRIPTS/2010/23/cg.01.html,19186,cg,the_lead_with_jake_tapper
