network,week,n,t,pct,rm,date
Fox News,2016.942,2,3,0.6666666666666666,0.4041666666666667,2016-12-02
CNN,2016.962,106,325,0.3261538461538461,0.27349902568313295,2016-12-09
CNN,2016.981,67,325,0.20615384615384616,0.24445892363418134,2016-12-16
Fox News,2016.981,1,4,0.25,0.4541666666666667,2016-12-16
CNN,2017,34,194,0.17525773195876287,0.2589412233413946,2016-12-23
CNN,2017.019,90,333,0.2702702702702703,0.3260333350513407,2016-12-30
CNN,2017.038,111,289,0.38408304498269896,0.4220494105362262,2017-01-08
CNN,2017.058,149,314,0.4745222929936306,0.4612856404370131,2017-01-15
Fox News,2017.058,2,4,0.5,0.35000000000000003,2017-01-15
CNN,2017.077,198,354,0.559322033898305,0.4675684022265687,2017-01-22
Fox News,2017.077,2,5,0.4,0.4375,2017-01-22
CNN,2017.096,135,316,0.4272151898734177,0.4588412106206731,2017-01-29
CNN,2017.115,151,369,0.4092140921409214,0.4002607021460969,2017-02-05
CNN,2017.135,182,414,0.4396135265700483,0.39320752811913895,2017-02-12
Fox News,2017.135,1,4,0.25,0.36250000000000004,2017-02-12
CNN,2017.154,130,400,0.325,0.37044945962936315,2017-02-19
CNN,2017.173,160,401,0.39900249376558605,0.34232799288046806,2017-02-26
Fox News,2017.173,3,5,0.6,0.3875,2017-02-26
CNN,2017.192,119,374,0.3181818181818182,0.3306656217464475,2017-03-05
Fox News,2017.192,1,5,0.2,0.3875,2017-03-05
CNN,2017.212,123,376,0.3271276595744681,0.29288682929096643,2017-03-12
Fox News,2017.212,2,4,0.5,0.32840909090909093,2017-03-12
CNN,2017.231,81,291,0.27835051546391754,0.2811767405991704,2017-03-19
Fox News,2017.231,3,12,0.25,0.3465909090909091,2017-03-19
CNN,2017.25,88,355,0.24788732394366197,0.25837369894499,2017-03-26
Fox News,2017.25,8,22,0.36363636363636365,0.31369617224880386,2017-03-26
CNN,2017.269,89,328,0.27134146341463417,0.25959531863392393,2017-04-02
Fox News,2017.269,6,22,0.2727272727272727,0.4129608781311568,2017-04-02
CNN,2017.288,67,284,0.23591549295774647,0.2901293424489452,2017-04-09
Fox News,2017.288,7,19,0.3684210526315789,0.42919464436492305,2017-04-09
CNN,2017.308,98,346,0.2832369942196532,0.3092504983344171,2017-04-16
Fox News,2017.308,11,17,0.6470588235294118,0.4475512877215664,2017-04-16
CNN,2017.327,158,427,0.3700234192037471,0.3347543837156702,2017-04-23
